dataset,hardware,vmaf_version,clip,complexity,codec,profile,encoder_kind,rung,resolution_p,target_kbps,achieved_kbps,vmaf,wh_per_min,delta_w_watts,n,confidence,source_file,notes
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,2500,2554.7,91.15,0.1282,56.58,5,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,2500,2494.1,91.87,0.3803,47.87,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,3500,3450.3,94.44,0.7385,70.52,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,3500,3538.8,93.03,0.1296,56.91,5,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,3500,3493.2,92.8,0.3725,46.89,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,5000,4925.9,95.0,0.7768,67.54,1,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,5000,4994.6,93.96,0.135,59.25,5,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,5000,4966.7,93.53,0.3938,49.57,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,7000,6888.8,95.45,0.842,66.19,1,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,7000,6880.1,94.47,0.1303,57.19,5,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,7000,6952.5,94.06,0.3772,47.48,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,cpu,cpu,sweep,1080,1000,687.4,90.72,0.3239,66.5,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_baseline,gpu,sweep,1080,1000,1033.6,90.64,0.1259,60.17,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_tuned,gpu,sweep,1080,1000,997.3,89.04,0.249,51.52,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,cpu,cpu,sweep,1080,1800,1249.4,92.21,0.3535,66.97,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_baseline,gpu,sweep,1080,1800,1840.0,92.63,0.1241,59.31,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_tuned,gpu,sweep,1080,1800,1776.2,91.46,0.2577,53.12,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,cpu,cpu,sweep,1080,2800,1909.2,92.91,0.3785,69.04,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_baseline,gpu,sweep,1080,2800,2854.5,93.58,0.1225,59.34,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_tuned,gpu,sweep,1080,2800,2816.7,92.74,0.2523,52.01,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,cpu,cpu,sweep,1080,4000,2676.2,93.34,0.3672,64.49,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_baseline,gpu,sweep,1080,4000,4075.9,94.14,0.1277,61.58,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_tuned,gpu,sweep,1080,4000,4034.6,93.47,0.2571,52.98,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,cpu,cpu,sweep,1080,6000,4032.0,93.8,0.3705,64.74,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_baseline,gpu,sweep,1080,6000,6105.4,94.63,0.1287,62.05,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",meridian_120s,low (SI~13/TI~2),av1,gpu_tuned,gpu,sweep,1080,6000,6067.9,94.12,0.2599,53.35,3,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
